,Indicator Name,Year,Afghanistan,Australia,Bahrain,Belgium,Canada,Finland,France,Georgia,Greece,Iraq,Japan,Nepal,New Zealand,Pakistan
0,Access to electricity (% of population),1990,,100,99.94139862,100,100,100,100,,100,,100,,100,
1,Access to electricity (% of population),1991,,100,99.96739197,100,100,100,100,,100,,100,,100,
2,Access to electricity (% of population),1992,,100,99.98718262,100,100,100,100,,100,,100,,100,
3,Access to electricity (% of population),1993,,100,99.99713898,100,100,100,100,,100,,100,,100,
4,Access to electricity (% of population),1994,,100,99.99977112,100,100,100,100,,100,,100,,100,
5,Access to electricity (% of population),1995,,100,100,100,100,100,100,,100,,100,,100,
6,Access to electricity (% of population),1996,,100,100,100,100,100,100,,100,,100,17.9,100,
7,Access to electricity (% of population),1997,,100,100,100,100,100,100,,100,,100,18.13286781,100,
8,Access to electricity (% of population),1998,,100,100,100,100,100,100,,100,,100,21.7325325,100,70.46
9,Access to electricity (% of population),1999,,100,100,100,100,100,100,,100,,100,25.32735443,100,70.26535034
10,Access to electricity (% of population),2000,4.446890831,100,100,100,100,100,100,99.8350296,100,96.80883026,100,29.86780357,100,72.81689453
11,Access to electricity (% of population),2001,9.294527054,100,100,100,100,100,100,99.80056,100,96.93499756,100,24.6,100,73.86801147
12,Access to electricity (% of population),2002,14.13361645,100,100,100,100,100,100,99.9,100,97.0526123,100,36.35047913,100,74.9105835
13,Access to electricity (% of population),2003,18.9711647,100,100,100,100,100,100,100,100,97.16868591,100,39.58600616,100,75.95161438
14,Access to electricity (% of population),2004,23.81418228,100,100,100,100,100,100,99.93,100,97.2902298,100,37.2,100,76.99811554
15,Access to electricity (% of population),2005,28.66967201,100,100,100,100,100,100,97.93505412,100,97.42424774,100,46.08046341,100,78.05709076
16,Access to electricity (% of population),2006,33.54441833,100,100,100,100,100,100,100,100,97.62211156,100,51.2,100,79.13531494
17,Access to electricity (% of population),2007,38.44000244,100,100,100,100,100,100,100,100,98.1,100,52.64674377,100,80.23438263
18,Access to electricity (% of population),2008,42.4,100,100,100,100,100,100,100,100,97.94296265,100,55.95753098,100,81.35066986
19,Access to electricity (% of population),2009,48.27900696,100,100,100,100,100,100,100,100,98.14768982,100,59.28170395,100,82.48035431
20,Access to electricity (% of population),2010,42.7,100,100,100,100,100,100,100,100,98.36196136,100,68.6,100,87.12272644
21,Access to electricity (% of population),2011,43.22201891,100,100,100,100,100,100,100,100,98,100,67.26,100,87.83734131
22,Access to electricity (% of population),2012,69.1,100,100,100,100,100,100,100,100,99.3,100,75.21463013,100,88.56819916
23,Access to electricity (% of population),2013,68.0408783,100,100,100,100,100,100,100,100,99.02366638,100,77.44139099,100,89.33152008
24,Access to electricity (% of population),2014,89.5,100,100,100,100,100,100,100,100,99.23851013,100,84.9,100,90.13817596
25,Access to electricity (% of population),2015,71.5,100,100,100,100,100,100,100,100,99.44837952,100,82.01422882,100,90.9774704
26,Access to electricity (% of population),2016,97.7,100,100,100,100,100,100,100,100,99.65409851,100,90.7,100,91.83230591
27,Access to electricity (% of population),2017,97.7,100,100,100,100,100,100,100,100,99.88437653,100,86.62465668,100,92.661026
28,Access to electricity (% of population),2018,93.43087769,100,100,100,100,100,100,99.9,100,99.9,100,93.92,100,93.39749146
29,Access to electricity (% of population),2019,97.7,100,100,100,100,100,100,100,100,99.99102783,100,89.9,100,93.9
30,Access to electricity (% of population),2020,97.7,100,100,100,100,100,100,100,100,100,100,89.9,100,94.4852829
31,Access to electricity (% of population),2021,97.7,100,100,100,100,100,100,100,100,100,100,89.9,100,94.92285919
32,Agricultural irrigated land (% of total agricultural land),2001,5.66212462,0.549923195,40.85801839,,,,,,,,32.61078074,,,48.19863681
33,Agricultural irrigated land (% of total agricultural land),2002,4.61762371,0.56935123,,,,,,,,,32.52173913,,3.193505342,48.91009652
